Problem,Prefix_Equation,Answer,Encoded
"Bryan took a look at his books as well . If Bryan has 56 books in each of his 9 bookshelves , how many books does he have in total ?",* 56 9,504.0,"[1, 3, 767, 1000, 2]"
Bryan also looked over his books . How many books does Bryan have if he has 56 books on each of his 9 bookshelves ?,* 56 9,504.0,"[1, 3, 767, 1000, 2]"
Bryan also looked through his books . How many books does Bryan have in total if he has 56 on each of his 9 bookcases ?,* 56 9,504.0,"[1, 3, 767, 1000, 2]"
Bryan also looked through his novels . How many novels does Bryan have in total if he has 56 on each of his 9 bookcases ?,* 56 9,504.0,"[1, 3, 767, 1000, 2]"
"Bryan took a look at his comics as well . If Bryan has 56 comics in each of his 9 bookshelves , how many comics does he have in total ?",* 56 9,504.0,"[1, 3, 767, 1000, 2]"
"Bryan took a look at his books as well . If Bryan has 56 books in each of his 9 bookshelves , how many books does he have in total ?",* 56 9,504.0,"[1, 3, 767, 1000, 2]"
Bryan also glanced through his books . How many books does Bryan have in total if each of his 9 bookcases holds 56 volumes ?,* 56 9,504.0,"[1, 3, 767, 1000, 2]"
"Bryan took a look at his books as well . If Bryan has 56 fiction books and 30 non-fiction books in each of his 9 bookshelves , how many books does he have in total ?",* + 56.0 30.0 9.0,774.0,"[1, 3, 4, 768, 493, 1001, 2]"
"If Bryan has 9 bookshelves, each with 56 books, how many books does he have in total?",* 56 9,504.0,"[1, 3, 767, 1000, 2]"
How many books does Bryan have in total if he has 9 bookshelves with 56 books in each one?,* 56 9,504.0,"[1, 3, 767, 1000, 2]"
"If Bryan has 56 books in each of his 9 bookshelves, how many books does he have in total?",* 56 9,504.0,"[1, 3, 767, 1000, 2]"
How many books does Bryan have in total if each of his 9 bookshelves contains 56 books?,* 56 9,504.0,"[1, 3, 767, 1000, 2]"
"If Bryan has 9 bookshelves filled with 56 books each, how many books does he have in total?",* 56 9,504.0,"[1, 3, 767, 1000, 2]"
"How many books does Bryan have in total if he has 9 bookshelves, each one containing 56 books?",* 56 9,504.0,"[1, 3, 767, 1000, 2]"
"If Bryan has 9 bookshelves and each shelf has 56 books, how many books does he have in total?",* 56 9,504.0,"[1, 3, 767, 1000, 2]"
"How many books does Bryan have in total if he has 9 bookshelves, and each shelf has 56 books in it?",* 56 9,504.0,"[1, 3, 767, 1000, 2]"
"If Bryan has 9 bookshelves, each containing 56 books, how many books does he have in total?",* 56 9,504.0,"[1, 3, 767, 1000, 2]"
How many books does Bryan have in total if each of his 9 bookshelves has 56 books on it?,* 56 9,504.0,"[1, 3, 767, 1000, 2]"
"If Bryan has 9 bookshelves, each containing 56 books, how many books does he have in total?",* 56 9,504.0,"[1, 3, 767, 1000, 2]"
"How many bookshelves does Bryan have if he has a total of 504 books, and each shelf has 56 books on it?",/ 504 56,9.0,"[1, 6, 724, 767, 2]"
"For the fifth grade play , the chairs have been put into 27 rows with 16 chairs in each row . How many chairs have been put out for the play ?",* 27.0 16.0,432.0,"[1, 3, 436, 262, 2]"
"For the fifth grade play, the chairs have been set up in 27 rows, each with 16 chairs. How many chairs have been prepared for the play?",* 27.0 16.0,432.0,"[1, 3, 436, 262, 2]"
How many chairs have been arranged for the fifth grade play if there are 27 rows with 16 chairs in each row?,* 27.0 16.0,432.0,"[1, 3, 436, 262, 2]"
"For the play, the chairs have been arranged in 27 rows with 16 chairs in each row. How many chairs have been set up in total?",* 27.0 16.0,432.0,"[1, 3, 436, 262, 2]"
"If there are 27 rows of chairs for the fifth grade play, each with 16 chairs, how many chairs have been put out in total?",* 27.0 16.0,432.0,"[1, 3, 436, 262, 2]"
How many rows of chairs are there for the fifth grade play if there are a total of 432 chairs and each row has 16 chairs?,/ 432.0 16.0,27.0,"[1, 6, 652, 262, 2]"
"For the fifth grade play, the benches have been set up in 27 rows, each with 16 benches. How many benches have been prepared for the play?",* 27.0 16.0,432.0,"[1, 3, 436, 262, 2]"
How many stools have been arranged for the fifth grade play if there are 27 rows with 16 stools in each row?,* 27.0 16.0,432.0,"[1, 3, 436, 262, 2]"
"For the play, the sofas have been arranged in 27 rows with 16 sofas in each row. How many sofas have been set up in total?",* 27.0 16.0,432.0,"[1, 3, 436, 262, 2]"
"If there are 27 rows of cushions for the fifth grade play, each with 16 cushions, how many cushions have been put out in total?",* 27.0 16.0,432.0,"[1, 3, 436, 262, 2]"
How many rows of armchairs are there for the fifth grade play if there are a total of 432 armchairs and each row has 16 armchairs?,/ 432.0 16.0,27.0,"[1, 6, 652, 262, 2]"
"For the fifth grade play, the benches have been set up in 27 rows, each with 16 benches. How many benches have been prepared for the play?",* 27.0 16.0,432.0,"[1, 3, 436, 262, 2]"
"If there are 27 rows of chairs for the fifth grade play, each with 16 chairs, and the school has a total of 9 classrooms, how many chairs have been put out in total?",* 27.0 16.0,432.0,"[1, 3, 436, 262, 2]"
"How many rows of armchairs are there for the fifth grade play if there are a total of 432 armchairs and each row has 16 armchairs, and the school has a total of 2 computer labs?",/ 432.0 16.0,27.0,"[1, 6, 652, 262, 2]"
"If there are 27 rows of cushions for the fifth grade play, each with 16 cushions, and the school has a total of 9 classrooms, how many cushions have been put out in total?",* 27.0 16.0,432.0,"[1, 3, 436, 262, 2]"
"For the fifth grade play, the stools have been set up in 27 rows, each with 16 stools. The school has a total of 4 soccer fields. How many stools have been prepared for the play?",* 27.0 16.0,432.0,"[1, 3, 436, 262, 2]"
"For the play, the sofas have been arranged in 27 rows. Each row has 16 sofas. How many sofas have been set up in total?",* 27.0 16.0,432.0,"[1, 3, 436, 262, 2]"
There are 41 short trees and 44 tall trees currently in the park . Park workers will plant 57 short trees today . How many short trees will the park have when the workers are finished ?,+ 41 57,98.0,"[1, 4, 628, 776, 2]"
"How many short bushes are there in the park if there are a total of 41 short bushes and 44 tall bushes, and park workers are planting 57 short bushes today?",+ 41 57,98.0,"[1, 4, 628, 776, 2]"
Park workers will plant 57 small trees today. The park currently has 41 small trees and 44 large trees. How many small trees will the park have when the workers are finished?,+ 41 57,98.0,"[1, 4, 628, 776, 2]"
